rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_1625,5-formyltetrahydrofolic acid exchange,0.0,0.0,1000.0,LB,-2.2158688942456912,2.2158688942456912
r_2043,S-adenosyl-L-methionine exchange,0.0,0.0,1000.0,LB,-1.8993161950677329,1.8993161950677329
r_1806,glutathione disulfide exchange,0.0,0.0,1000.0,LB,-1.8993161950677315,1.8993161950677315
r_1639,adenine exchange,0.0,0.0,1000.0,LB,-1.5827634958897783,1.5827634958897783
r_1641,"adenosine 3',5'-bismonophosphate exchange",0.0,0.0,1000.0,LB,-1.5827634958897783,1.5827634958897783
r_4548,AMP exchange,0.0,0.0,1000.0,LB,-1.582763495889778,1.582763495889778
r_4545,3'-AMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_4546,"2',3'-cyclic AMP exchange",0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_4544,adenosine 2'-phosphate exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_1643,adenosine exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_4524,GMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897772,1.5827634958897772
r_4540,"2',3'-cyclic GMP exchange",0.0,0.0,1000.0,LB,-1.582763495889777,1.582763495889777
r_1818,guanine exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_1820,guanosine exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_4534,guanosine 2'-monophosphate exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_4536,3'-GMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_1648,allantoate exchange,0.0,0.0,1000.0,LB,-1.2662107967118243,1.2662107967118243
r_1649,allantoin exchange,0.0,0.0,1000.0,LB,-1.2662107967118243,1.2662107967118243
r_4530,N(omega)-phospho-L-arginine exchange,0.0,0.0,1000.0,LB,-1.2662107967118243,1.2662107967118243
r_1879,L-arginine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-1.2662107967118243,1.2662107967118243
r_4511,Ala-His exchange,0.0,0.0,1000.0,LB,-1.2662107967118241,1.2662107967118241
r_1630,9H-xanthine exchange,0.0,0.0,1000.0,LB,-1.2662107967118226,1.2662107967118226
r_1841,hypoxanthine exchange,0.0,0.0,1000.0,LB,-1.2662107967118224,1.2662107967118224
r_1847,inosine exchange,0.0,0.0,1000.0,LB,-1.2662107967118224,1.2662107967118224
r_2102,xanthosine exchange,0.0,0.0,1000.0,LB,-1.2662107967118224,1.2662107967118224
r_4519,L-citrulline exchange,0.0,0.0,1000.0,LB,-0.9496580975338687,0.9496580975338687
r_1893,L-histidine exchange,0.0,0.0,0.0,LB,-0.9496580975338683,0.9496580975338683
r_1730,deoxycytidine exchange,0.0,0.0,1000.0,LB,-0.949658097533868,0.949658097533868
r_4564,"2',3'-cyclic CMP exchange",0.0,0.0,1000.0,LB,-0.9496580975338678,0.9496580975338678
r_4561,cytidine 2'-phosphate exchange,0.0,0.0,1000.0,LB,-0.9496580975338678,0.9496580975338678
r_4558,CMP exchange,0.0,0.0,1000.0,LB,-0.9496580975338678,0.9496580975338678
r_1702,cytidine exchange,0.0,0.0,1000.0,LB,-0.9496580975338675,0.9496580975338675
r_4508,Ala-Gln exchange,0.0,0.0,1000.0,LB,-0.9496580975338675,0.9496580975338675
r_1705,cytosine exchange,0.0,0.0,1000.0,LB,-0.9496580975338675,0.9496580975338675
r_4510,Gly-Gln exchange,0.0,0.0,1000.0,LB,-0.9496580975338672,0.9496580975338672
r_4512,Gly-Asn exchange,0.0,0.0,1000.0,LB,-0.9496580975338671,0.9496580975338671
r_1807,glutathione exchange,0.0,0.0,1000.0,LB,-0.9496580975338658,0.9496580975338658
r_2091,urea exchange,0.0,0.0,1000.0,LB,-0.6331053983559125,0.6331053983559125
r_1987,ornithine exchange,0.0,0.0,0.0,LB,-0.6331053983559122,0.6331053983559122
r_4513,Ala-Glu exchange,0.0,0.0,1000.0,LB,-0.6331053983559121,0.6331053983559121
r_4515,Ala-Asp exchange,0.0,0.0,1000.0,LB,-0.6331053983559118,0.6331053983559118
r_1891,L-glutamine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.6331053983559118,0.6331053983559118
r_1566,2'-deoxyuridine exchange,0.0,0.0,1000.0,LB,-0.6331053983559118,0.6331053983559118
r_4496,Ala-Gly exchange,0.0,0.0,1000.0,LB,-0.6331053983559117,0.6331053983559117
r_1880,L-asparagine exchange,0.0,0.0,0.0,LB,-0.6331053983559116,0.6331053983559116
r_4517,Ala-Thr exchange,0.0,0.0,1000.0,LB,-0.6331053983559116,0.6331053983559116
r_4557,UMP exchange,0.0,0.0,1000.0,LB,-0.6331053983559116,0.6331053983559116
r_4563,3'-UMP exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4565,"2',3'-cyclic UMP exchange",0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_1749,dTTP exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_2092,uridine exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_2090,uracil exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4516,Gly-Glu exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4562,uridine 2'-phosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4559,thymidine 5'-monophosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559113,0.6331053983559113
r_4560,thymidine 3'-monophosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559113,0.6331053983559113
r_2073,thymidine exchange,0.0,0.0,1000.0,LB,-0.6331053983559112,0.6331053983559112
r_1900,L-lysine exchange,0.0,0.0,0.0,LB,-0.6331053983559111,0.6331053983559111
r_4518,Met-Ala exchange,0.0,0.0,1000.0,LB,-0.6331053983559111,0.6331053983559111
r_4509,Ala-Leu exchange,0.0,0.0,1000.0,LB,-0.6331053983559105,0.6331053983559105
r_4514,Gly-Met exchange,0.0,0.0,1000.0,LB,-0.6331053983559105,0.6331053983559105
r_1992,oxygen exchange,0.0,0.0,0.0,LB,-0.6331053983559097,0.6331053983559097
r_2046,sn-glycero-3-phosphocholine exchange,0.0,0.0,1000.0,LB,-0.31655269917796036,0.31655269917796036
r_4521,choline phosphate exchange,0.0,0.0,1000.0,LB,-0.3165526991779603,0.3165526991779603
r_1683,choline exchange,0.0,0.0,1000.0,LB,-0.3165526991779603,0.3165526991779603
r_1764,ethanolamine exchange,0.0,0.0,1000.0,LB,-0.3165526991779582,0.3165526991779582
r_4532,O-phosphoethanolamine exchange,0.0,0.0,1000.0,LB,-0.3165526991779581,0.3165526991779581
r_4551,3-sulfino-L-alanine exchange,0.0,0.0,1000.0,LB,-0.31655269917795636,0.31655269917795636
r_1800,gamma-aminobutyrate exchange,0.0,0.0,0.0,LB,-0.31655269917795625,0.31655269917795625
r_4553,L-cysteate exchange,0.0,0.0,1000.0,LB,-0.31655269917795625,0.31655269917795625
r_1903,L-phenylalanine exchange,0.0,0.0,0.0,LB,-0.3165526991779562,0.3165526991779562
r_1968,NMN exchange,0.0,0.0,1000.0,LB,-0.31655269917795614,0.31655269917795614
r_1873,L-alanine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.31655269917795614,0.31655269917795614
r_1913,L-tyrosine exchange,0.0,0.0,0.0,LB,-0.31655269917795614,0.31655269917795614
r_1604,4-aminobenzoate exchange,0.0,0.0,1000.0,LB,-0.3165526991779561,0.3165526991779561
r_1912,L-tryptophan exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779561,0.3165526991779561
r_4506,D-Glucosamine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_4541,O(4)-phospho-L-tyrosine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_1651,alpha-D-glucosamine 6-phosphate exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_1654,ammonium exchange,-0.2050601815756348,-0.2050601815756348,0.0,LB,-0.31655269917795603,0.31655269917795603
r_1563,2'-deoxyadenosine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_4526,O-phosphonatooxy-D-serine(2-) exchange,0.0,0.0,1000.0,LB,-0.3165526991779559,0.3165526991779559
r_4531,carbamoyl phosphate exchange,0.0,0.0,1000.0,LB,-0.3165526991779559,0.3165526991779559
r_1904,L-proline exchange,0.0,0.0,0.0,LB,-0.31655269917795587,0.31655269917795587
r_2028,pyridoxine exchange,-0.01,-0.01,0.0,LB,-0.3165526991779558,0.3165526991779558
r_1896,L-homoserine exchange,0.0,0.0,1000.0,LB,-0.3165526991779558,0.3165526991779558
r_1889,L-glutamate exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779558,0.3165526991779558
r_1881,L-aspartate exchange,0.0,0.0,0.0,LB,-0.3165526991779558,0.3165526991779558
r_4525,3-phospho-serine exchange,0.0,0.0,1000.0,LB,-0.3165526991779557,0.3165526991779557
r_1906,L-serine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779557,0.3165526991779557
r_4520,2-aminobutanoate exchange,0.0,0.0,1000.0,LB,-0.3165526991779556,0.3165526991779556
r_1914,L-valine exchange,0.0,0.0,0.0,LB,-0.3165526991779556,0.3165526991779556
r_1810,L-glycine exchange,0.0,0.0,0.0,LB,-0.3165526991779556,0.3165526991779556
r_4542,O-phospho-L-threonine exchange,0.0,0.0,1000.0,LB,-0.31655269917795553,0.31655269917795553
r_1911,L-threonine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779555,0.3165526991779555
r_4549,N(alpha)-acetyl-L-methionine exchange,0.0,0.0,1000.0,LB,-0.31655269917795514,0.31655269917795514
